request,account,dvr,start_time,end_time,source,received,uploaded,timestamp,is_retry,videos_details
001000007462307100220240920215708000,3-242,0000074623071002,"2024-09-20 21:55","2024-09-20 21:55",Vehicle,2,2,"2024-09-20 21:59:02",0,2
001000007462317223020240920213930000,3-250,0000074623172230,"2024-09-20 21:37","2024-09-20 21:37",Vehicle,2,2,"2024-09-20 21:51:38",0,2
001000007462317223020240920180608000,3-250,0000074623172230,"2024-09-20 18:04","2024-09-20 18:04",Vehicle,2,2,"2024-09-20 18:14:00",0,2
001000007462316437020240920165621000,3-242,0000074623164370,"2024-09-20 16:55","2024-09-20 16:55",Vehicle,2,2,"2024-09-20 16:59:04",0,2
001000007462316437020240920165523000,3-242,0000074623164370,"2024-09-20 16:54","2024-09-20 16:54",Vehicle,2,2,"2024-09-20 16:59:02",0,2
001000007462316437020240920165218537,3-242,0000074623164370,"2024-09-20 16:47","2024-09-20 16:47",Vehicle,2,2,"2024-09-20 16:54:51",0,2
002000007462425526720240920165346277,3-310,0000074624255267,"2024-09-20 16:52","2024-09-20 16:53",API,1,1,"2024-09-20 16:53:53",0,1
001000007462317433020240920000213000,3-309,0000074623174330,"2024-09-19 23:01","2024-09-19 23:01",Vehicle,26,25,"2024-09-20 16:00:50",0,26
001000007462323306620240920143356000,3-218,0000074623233066,"2024-09-20 14:32","2024-09-20 14:32",Vehicle,3,3,"2024-09-20 14:38:48",0,3
002000007461213353520240920140039914,3-170,0000074612133535,"2024-09-20 13:10","2024-09-20 13:15",API,5,5,"2024-09-20 14:00:49",0,5
002000007461213353520240920135946096,3-170,0000074612133535,"2024-09-20 13:15","2024-09-20 13:19",API,4,4,"2024-09-20 13:59:53",0,4
002000007461213353520240920135614695,3-170,0000074612133535,"2024-09-20 13:18","2024-09-20 13:23",API,5,4,"2024-09-20 13:56:26",0,4
001000007462319106220240919222322000,3-250,0000074623191062,"2024-09-19 22:04","2024-09-19 22:04",Vehicle,25,25,"2024-09-20 13:09:07",0,25
001000007462317223220240920114657000,3-253,0000074623172232,"2024-09-20 11:45","2024-09-20 11:45",Vehicle,3,3,"2024-09-20 11:53:29",0,3
001000007462323306620240920113115000,3-218,0000074623233066,"2024-09-20 11:29","2024-09-20 11:29",Vehicle,2,2,"2024-09-20 11:33:36",0,2
001000007462220200620240920112428000,3-253,0000074622202006,"2024-09-20 11:23","2024-09-20 11:23",Vehicle,2,2,"2024-09-20 11:28:12",0,2
001000007462317103220240920062809000,3-304,0000074623171032,"2024-09-20 06:26","2024-09-20 06:26",Vehicle,2,2,"2024-09-20 06:31:17",0,2
001000007461024106520240920022624000,3-170,0000074610241065,"2024-09-20 02:26","2024-09-20 02:26",Vehicle,2,2,"2024-09-20 02:27:41",0,2
001000007462310507420240919231053000,3-170,0000074623105074,"2024-09-19 23:11","2024-09-19 23:11",Vehicle,208,208,"2024-09-20 01:46:04",0,208
001000007462316437020240920013141000,3-242,0000074623164370,"2024-09-20 01:30","2024-09-20 01:30",Vehicle,2,2,"2024-09-20 01:33:57",0,2
001000007462316437020240920013057000,3-242,0000074623164370,"2024-09-20 01:25","2024-09-20 01:25",Vehicle,2,2,"2024-09-20 01:33:03",0,2
001000007462318304620240920010433000,3-309,0000074623183046,"2024-09-20 00:45","2024-09-20 00:45",Vehicle,25,25,"2024-09-20 01:10:21",0,25
001000007462323306620240919231721000,3-218,0000074623233066,"2024-09-19 23:14","2024-09-19 23:14",Vehicle,2,2,"2024-09-19 23:19:31",0,2
001000007462310507420240918200943000,3-170,0000074623105074,"2024-09-18 20:10","2024-09-18 20:10",Vehicle,28,28,"2024-09-19 23:06:01",0,28
002000007462317212820240919213659440,1-291,0000074623172128,"2024-09-19 16:20","2024-09-19 16:23",API,3,2,"2024-09-19 21:37:13",0,2
002000007462318300520240919201948627,3-250,0000074623183005,"2024-09-15 21:19","2024-09-15 21:24",API,5,0,"2024-09-19 20:19:59",0,0
002000007462318300520240919201807395,3-250,0000074623183005,"2024-09-15 21:19","2024-09-15 21:24",API,5,0,"2024-09-19 20:18:18",0,0
001000007462319207720240919192859000,3-309,0000074623192077,"2024-09-19 19:16","2024-09-19 19:16",Vehicle,10,9,"2024-09-19 19:35:25",0,10
002000007462311314620240919191820168,3-170,0000074623113146,"2024-09-19 17:23","2024-09-19 17:33",API,10,10,"2024-09-19 19:18:35",0,10
001000007462326305820240919190544000,3-250,0000074623263058,"2024-09-19 18:24","2024-09-19 18:24",Vehicle,22,21,"2024-09-19 19:11:47",0,22
002000007462316330220240919175235653,3-303,0000074623163302,"2024-09-19 17:08","2024-09-19 17:09",API_OFFLINE,1,0,"2024-09-19 17:59:34",1,0
001000007462310305220240919172008000,3-253,0000074623103052,"2024-09-19 17:18","2024-09-19 17:18",Vehicle,2,2,"2024-09-19 17:28:22",0,2
002000007462307205820240919172157642,3-303,0000074623072058,"2024-09-19 17:20","2024-09-19 17:21",API,1,0,"2024-09-19 17:22:05",0,0
002000007462318300520240918215006716,3-250,0000074623183005,"2024-09-16 00:15","2024-09-16 00:25",API_OFFLINE,0,0,"2024-09-19 16:15:27",1,0
002000007462318300520240918200411614,3-250,0000074623183005,"2024-09-15 21:17","2024-09-15 21:22",API_OFFLINE,5,0,"2024-09-19 16:15:26",1,0
002000007462318300520240918174820553,3-250,0000074623183005,"2024-09-18 17:47","2024-09-18 17:48",API_OFFLINE,0,0,"2024-09-19 16:15:26",1,0
002000007462318300520240918175515313,3-250,0000074623183005,"2024-09-15 21:18","2024-09-15 21:19",API_OFFLINE,1,0,"2024-09-19 16:15:26",1,0
002000007462317212820240919160227546,1-291,0000074623172128,"2024-09-19 15:50","2024-09-19 15:51",API,1,1,"2024-09-19 16:02:42",0,1
001000007461304492920240919152759000,3-170,0000074613044929,"2024-09-19 15:27","2024-09-19 15:27",Vehicle,2,2,"2024-09-19 15:29:33",0,2
001000007462313202220240919143050000,3-170,0000074623132022,"2024-09-19 14:29","2024-09-19 14:29",Vehicle,2,2,"2024-09-19 14:57:39",0,2
001000007462319314620240919132724000,3-309,0000074623193146,"2024-09-19 11:03","2024-09-19 11:03",Vehicle,25,15,"2024-09-19 13:33:16",0,25
002000007462311416620240919130321141,3-170,0000074623114166,"2024-09-19 13:02","2024-09-19 13:03",API,1,1,"2024-09-19 13:03:29",0,1
001000007462308100220240919124646000,3-242,0000074623081002,"2024-09-19 12:00","2024-09-19 12:00",Vehicle,1,1,"2024-09-19 12:47:46",0,1
001000007462318300220240919111607000,3-309,0000074623183002,"2024-09-19 10:57","2024-09-19 10:57",Vehicle,33,32,"2024-09-19 11:51:32",0,33
002000007462317104520240917165605899,3-303,0000074623171045,"2024-09-17 16:54","2024-09-17 16:55",API_OFFLINE,0,0,"2024-09-19 11:34:17",1,0
001000007462319207820240919103902000,3-273,0000074623192078,"1971-01-01 00:00","1971-01-01 00:00",Vehicle,25,24,"2024-09-19 10:43:27",0,25
001000007462319210920240919093655000,3-250,0000074623192109,"2024-09-19 04:08","2024-09-19 04:08",Vehicle,25,24,"2024-09-19 09:42:18",0,25
001000007462319315220240919090005000,3-309,0000074623193152,"2024-09-19 07:46","2024-09-19 07:46",Vehicle,22,22,"2024-09-19 09:26:04",0,22
001000007462227104820240918204930000,3-268,0000074622271048,"2024-09-18 18:53","2024-09-18 18:53",Vehicle,1,1,"2024-09-18 20:53:51",0,1
002000007462311310520240918185416100,3-170,0000074623113105,"2024-09-17 13:20","2024-09-17 13:30",API,10,10,"2024-09-18 18:54:29",0,10
002000007462311310520240918185123200,3-170,0000074623113105,"2024-09-17 13:30","2024-09-17 13:45",API,5,4,"2024-09-18 18:51:39",0,4
002000007462311310520240918184644823,3-170,0000074623113105,"2024-09-18 13:30","2024-09-18 13:45",API,13,13,"2024-09-18 18:47:02",0,13
002000007462311310520240918184135482,3-170,0000074623113105,"2024-09-17 14:45","2024-09-17 14:53",API,8,9,"2024-09-18 18:41:47",0,9
002000007462311310520240918183756874,3-170,0000074623113105,"2024-09-17 14:52","2024-09-17 14:57",API,5,5,"2024-09-18 18:38:05",0,5
002000007462311310520240918183319916,3-170,0000074623113105,"2024-09-18 14:52","2024-09-18 14:57",API,5,4,"2024-09-18 18:33:32",0,4
002000007462311310520240918175912771,3-170,0000074623113105,"2024-09-18 17:58","2024-09-18 17:59",API_OFFLINE,1,0,"2024-09-18 18:10:05",1,0
002000007462214208920240918175741381,3-170,0000074622142089,"2024-09-18 03:40","2024-09-18 03:50",API,10,10,"2024-09-18 17:57:54",0,10
002000007462214208920240918175526431,3-170,0000074622142089,"2024-09-18 03:50","2024-09-18 04:00",API,10,10,"2024-09-18 17:55:39",0,10
002000007462214208920240918175208837,3-170,0000074622142089,"2024-09-18 04:00","2024-09-18 04:10",API,10,10,"2024-09-18 17:52:21",0,10
001000007462318300320240918174611000,3-250,0000074623183003,"2024-09-18 17:44","2024-09-18 17:44",Vehicle,2,2,"2024-09-18 17:49:51",0,2
002000007462214208920240918174604738,3-170,0000074622142089,"2024-09-17 16:00","2024-09-17 16:10",API,10,10,"2024-09-18 17:46:18",0,10
001000007462318300320240918172106000,3-250,0000074623183003,"2024-09-18 17:19","2024-09-18 17:19",Vehicle,3,3,"2024-09-18 17:24:38",0,3
001000007462323203720240918170038000,3-170,0000074623232037,"2024-09-18 16:59","2024-09-18 16:59",Vehicle,2,2,"2024-09-18 17:03:26",0,2
001000007462227313120240918152444000,3-170,0000074622273131,"2024-09-18 15:23","2024-09-18 15:23",Vehicle,2,2,"2024-09-18 15:28:05",0,2
